N,time(tics),time(secs)
387,7.804000e-004,3.917000e-004
388,8.947000e-004,4.004000e-004
389,1.040200e-003,4.007000e-004
390,8.833000e-004,4.001000e-004
391,1.007100e-003,4.032000e-004
392,9.497000e-004,4.040000e-004
393,7.695000e-004,4.026000e-004
394,7.444000e-004,4.059000e-004
395,1.012900e-003,4.117000e-004
396,7.831000e-004,4.134000e-004
397,7.201000e-004,4.161000e-004
398,7.898000e-004,4.156000e-004
399,1.022600e-003,4.159000e-004
400,1.003300e-003,4.243000e-004
401,1.525500e-003,4.192000e-004
402,8.989000e-004,4.279000e-004
403,1.353700e-003,4.313000e-004
404,8.012000e-004,4.319000e-004
405,1.185300e-003,4.293000e-004
406,8.983000e-004,4.294000e-004
407,8.731000e-004,4.378000e-004
408,1.130800e-003,4.387000e-004
409,1.203600e-003,4.411000e-004
410,8.165000e-004,4.359000e-004
411,7.981000e-004,4.440000e-004
412,8.811000e-004,4.447000e-004
413,1.397100e-003,4.428000e-004
414,7.981000e-004,4.483000e-004
415,8.248000e-004,4.480000e-004
416,8.667000e-004,4.578000e-004
417,6.726000e-004,4.543000e-004
418,8.129000e-004,4.591000e-004
419,8.903000e-004,4.588000e-004
420,8.250000e-004,4.554000e-004
421,8.822000e-004,4.647000e-004
422,9.672000e-004,4.655000e-004
423,1.180900e-003,4.679000e-004
424,1.577600e-003,4.694000e-004
425,8.309000e-004,4.712000e-004
426,8.633000e-004,4.789000e-004
427,1.093100e-003,4.792000e-004
428,1.025900e-003,4.786000e-004
429,8.397000e-004,4.737000e-004
430,8.689000e-004,4.851000e-004
431,8.750500e-003,4.836000e-004
432,3.183200e-003,4.844000e-004
433,9.066000e-004,4.914000e-004
434,9.350000e-004,4.950000e-004
435,9.771000e-004,4.949000e-004
436,8.129000e-004,4.976000e-004
437,8.988000e-004,4.959000e-004
438,1.035800e-003,5.023000e-004
439,9.890000e-004,5.046000e-004
440,8.787000e-004,5.069000e-004
441,8.803000e-004,5.097000e-004
442,1.011800e-003,5.094000e-004
443,1.103300e-003,5.128000e-004
444,1.164000e-003,5.139000e-004
445,9.685000e-004,5.105000e-004
446,9.543000e-004,5.182000e-004
447,9.843000e-004,5.210000e-004
448,1.381400e-003,5.213000e-004
449,1.141700e-003,5.277000e-004
450,1.041500e-003,5.211000e-004
451,9.214000e-004,5.316000e-004
452,1.393700e-003,5.261000e-004
453,9.725000e-004,5.358000e-004
454,1.578500e-003,5.381000e-004
455,8.132000e-004,5.377000e-004
456,1.027400e-003,5.404000e-004
457,1.230800e-003,5.426000e-004
458,1.040400e-003,5.455000e-004
459,1.063000e-003,5.426000e-004
460,2.296000e-003,5.468000e-004
461,8.333000e-004,5.505000e-004
462,1.174000e-003,5.548000e-004
463,1.020700e-003,5.543000e-004
464,9.571000e-004,5.530000e-004
465,1.124200e-003,5.629000e-004
466,8.945000e-004,5.628000e-004
467,1.198500e-003,5.630000e-004
468,1.383000e-003,5.683000e-004
469,1.053400e-003,5.722000e-004
470,1.116900e-003,5.728000e-004
471,1.251500e-003,5.753000e-004
472,1.031000e-003,5.769000e-004
473,1.013600e-003,5.784000e-004
474,9.928000e-004,5.811000e-004
475,1.598800e-003,5.793000e-004
476,1.247100e-003,5.882000e-004
477,1.728100e-003,5.884000e-004
478,1.147300e-003,5.898000e-004
479,1.177600e-003,5.962000e-004
480,1.639700e-003,5.927000e-004
481,1.578600e-003,5.966000e-004
482,1.597500e-003,6.061000e-004
483,1.157700e-003,6.044000e-004
484,1.093500e-003,6.053000e-004
485,1.748700e-003,6.034000e-004
486,2.163300e-003,6.051000e-004
487,1.168000e-003,6.084000e-004
488,1.102900e-003,6.144000e-004
489,1.398700e-003,6.192000e-004
490,1.256400e-003,6.227000e-004
491,1.555500e-003,6.171000e-004
492,9.406000e-004,6.257000e-004
493,1.213100e-003,6.291000e-004
494,1.684100e-003,6.298000e-004
495,2.286300e-003,6.280000e-004
496,2.336600e-003,6.354000e-004
497,1.214400e-003,6.379000e-004
498,9.980000e-004,6.399000e-004
499,1.164200e-003,6.398000e-004
500,1.254300e-003,6.432000e-004
501,1.294700e-003,6.467000e-004
502,1.299500e-003,6.498000e-004
503,1.289000e-003,6.460000e-004
504,1.185300e-003,6.544000e-004
505,1.177300e-003,6.521000e-004
506,1.137700e-003,6.588000e-004
507,1.003300e-003,6.619000e-004
508,1.219300e-003,6.659000e-004
509,1.082200e-003,6.449000e-004
510,3.021000e-003,6.671000e-004
511,1.344600e-003,6.763000e-004
512,1.786300e-003,6.666000e-004
513,1.477400e-003,6.749000e-004
514,1.299800e-003,6.728000e-004
515,1.385400e-003,6.790000e-004
516,1.311100e-003,6.807000e-004
517,1.156200e-003,6.815000e-004
518,1.429200e-003,6.872000e-004
519,1.406100e-003,6.933000e-004
520,2.670800e-003,6.851000e-004
521,1.284100e-003,6.943000e-004
